,Link,Address,Beds,Rent
81,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,5550 S DORCHESTER Ave,Studio - 2 Br,"$902 - $2,500"
82,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,215 W Washington St,Studio - 3 Br,"$1,795 - $6,800"
83,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,448 E Ontario St,Studio - 2 Br,"$1,475 - $4,015"
84,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,77 W Huron St,Studio - 3 Br,"$1,590 - $5,360"
85,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,14 W Elm St,Studio - 2 Br,"$1,175 - $2,300"
86,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,833 W Buena Ave,1-3 Br,"$1,265 - $1,755"
87,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,410 S Morgan St,Studio - 4 Br,"$845 - $1,658"
88,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,1457 N Halsted St,Studio - 2 Br,"$1,667 - $4,341"
89,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,639-655 W Grace St,Studio - 1 Br,"$1,075 - $1,500"
90,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,1117 N Dearborn St,Studio - 1 Br,"$1,175 - $1,675"
91,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,5240 N Sheridan Rd,Studio - 2 Br,"$915 - $1,232"
92,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,4607 N Sheridan Rd,1-2 Br,"$1,195 - $1,695"
93,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,24 S Morgan St,1-3 Br,"$1,945 - $4,300"
94,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,4157 N Clarendon,Studio - 1 Br,"$975 - $1,300"
95,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,1100 N Dearborn St,Studio - 1 Br,"$1,275 - $1,690"
96,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,441 W Oakdale Ave,Studio - 1 Br,"$1,495 - $1,615"
97,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,4600 N Clarendon Ave,1-2 Br,"$1,175 - $1,300"
98,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,910 W Lake St,1-2 Br,"$1,580 - $2,500"
99,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,6104 S Woodlawn Ave,Studio - 1 Br,$628 - $995
100,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,2470 N Clark St,Studio - 1 Br,"$1,422 - $1,851"
101,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,840 W Blackhawk St,Studio - 2 Br,Call for Rent
102,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,8 E 9th St,Studio - 2 Br,"$1,606 - $4,000"
103,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,345 E Ohio St,Studio - 3 Br,"$1,517 - $5,080"
104,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,1380 E Hyde Park Blvd,1-2 Br,"$958 - $1,597"
105,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,175 N Harbor Dr,Studio - 3 Br,"$1,385 - $4,275"
106,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,185 N Wabash Ave,Studio - 2 Br,"$1,455 - $4,700"
107,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,4607 N Sheridan Rd,1-2 Br,"$1,145 - $1,595"
108,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,5650 N Sheridan Rd,Studio - 2 Br,"$995 - $1,995"
109,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,5441 NE River Rd,Studio - 4 Br,"$864 - $1,977"
110,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,5326 S Cornell Ave,Studio - 1 Br,$840 - $940
111,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,1212 S Michigan Ave,Studio - 2 Br,"$1,398 - $2,465"
112,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,5541 S Everett Ave,Studio - 2 Br,"$695 - $1,494"
113,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,360 W Hubbard St,Studio - 2 Br,"$1,775 - $4,172"
114,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,1220 N State Pky,Studio - 1 Br,"$1,050 - $1,650"
115,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,188 W Randolph St,Studio - 2 Br,"$1,410 - $5,100"
116,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,2555 N Clark St,Studio - 2 Br,"$1,383 - $2,460"
117,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,869 W Buena Ave,Studio - 2 Br,"$875 - $1,600"
118,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,1730 N Clark St,Studio - 3 Br,"$1,659 - $8,465"
119,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,300 W Hill St,Studio - 3 Br,"$1,013 - $1,447"
120,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,5050 N Sheridan Rd,1-2 Br,"$1,175 - $1,600"
121,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,150 W Roosevelt Rd,1-2 Br,"$1,760 - $4,255"
